"행정구역","2025년09월_총인구수","2025년09월_세대수","2025년09월_세대당 인구","2025년09월_남자 인구수","2025년09월_여자 인구수","2025년09월_남여 비율"
"서울특별시  (1100000000)","9,318,500","4,505,357","          2.07","4,491,997","4,826,503","          0.93"
"서울특별시 종로구 (1111000000)","137,545","72,402","          1.90","66,032","71,513","          0.92"
"서울특별시 중구 (1114000000)","118,458","64,259","          1.84","56,869","61,589","          0.92"
"서울특별시 용산구 (1117000000)","202,636","103,187","          1.96","96,590","106,046","          0.91"
"서울특별시 성동구 (1120000000)","274,195","132,994","          2.06","132,518","141,677","          0.94"
"서울특별시 광진구 (1121500000)","332,072","171,265","          1.94","158,955","173,117","          0.92"
"서울특별시 동대문구 (1123000000)","344,572","176,040","          1.96","168,148","176,424","          0.95"
"서울특별시 중랑구 (1126000000)","377,101","188,870","          2.00","184,274","192,827","          0.96"
"서울특별시 성북구 (1129000000)","423,991","199,326","          2.13","202,601","221,390","          0.92"
"서울특별시 강북구 (1130500000)","280,068","142,545","          1.96","134,794","145,274","          0.93"
"서울특별시 도봉구 (1132000000)","300,820","139,130","          2.16","145,194","155,626","          0.93"
"서울특별시 노원구 (1135000000)","485,526","217,252","          2.23","232,341","253,185","          0.92"
"서울특별시 은평구 (1138000000)","457,412","215,129","          2.13","216,297","241,115","          0.90"
"서울특별시 서대문구 (1141000000)","301,098","146,450","          2.06","142,334","158,764","          0.90"
"서울특별시 마포구 (1144000000)","358,744","180,703","          1.99","166,572","192,172","          0.87"
"서울특별시 양천구 (1147000000)","426,587","179,924","          2.37","207,678","218,909","          0.95"
"서울특별시 강서구 (1150000000)","550,669","273,397","          2.01","263,123","287,546","          0.92"
"서울특별시 구로구 (1153000000)","385,222","184,587","          2.09","188,346","196,876","          0.96"
"서울특별시 금천구 (1154500000)","223,603","121,441","          1.84","112,337","111,266","          1.01"
"서울특별시 영등포구 (1156000000)","372,245","192,641","          1.93","181,710","190,535","          0.95"
"서울특별시 동작구 (1159000000)","373,409","187,337","          1.99","180,130","193,279","          0.93"
"서울특별시 관악구 (1162000000)","478,809","288,964","          1.66","240,880","237,929","          1.01"
"서울특별시 서초구 (1165000000)","412,479","172,911","          2.39","195,928","216,551","          0.90"
"서울특별시 강남구 (1168000000)","556,324","245,478","          2.27","265,884","290,440","          0.92"
"서울특별시 송파구 (1171000000)","645,729","286,836","          2.25","309,190","336,539","          0.92"
"서울특별시 강동구 (1174000000)","499,186","222,289","          2.25","243,272","255,914","          0.95"
"부산광역시  (2600000000)","3,248,359","1,574,726","          2.06","1,579,327","1,669,032","          0.95"
"부산광역시 중구 (2611000000)","36,729","23,349","          1.57","17,791","18,938","          0.94"
"부산광역시 서구 (2614000000)","102,322","53,610","          1.91","49,015","53,307","          0.92"
"부산광역시 동구 (2617000000)","84,160","46,340","          1.82","40,817","43,343","          0.94"
"부산광역시 영도구 (2620000000)","102,070","53,435","          1.91","50,032","52,038","          0.96"
"부산광역시 부산진구 (2623000000)","365,433","188,487","          1.94","174,795","190,638","          0.92"
"부산광역시 동래구 (2626000000)","274,078","122,914","          2.23","131,987","142,091","          0.93"
"부산광역시 남구 (2629000000)","251,504","119,180","          2.11","122,145","129,359","          0.94"
"부산광역시 북구 (2632000000)","263,825","122,092","          2.16","129,324","134,501","          0.96"
"부산광역시 해운대구 (2635000000)","373,263","169,726","          2.20","178,671","194,592","          0.92"
"부산광역시 사하구 (2638000000)","287,772","140,051","          2.05","142,646","145,126","          0.98"
"부산광역시 금정구 (2641000000)","207,438","104,801","          1.98","100,877","106,561","          0.95"
"부산광역시 강서구 (2644000000)","148,362","64,545","          2.30","76,655","71,707","          1.07"
"부산광역시 연제구 (2647000000)","211,599","99,957","          2.12","100,894","110,705","          0.91"
"부산광역시 수영구 (2650000000)","169,749","87,781","          1.93","79,480","90,269","          0.88"
"부산광역시 사상구 (2653000000)","195,173","98,789","          1.98","97,532","97,641","          1.00"
"부산광역시 기장군 (2671000000)","174,882","79,669","          2.20","86,666","88,216","          0.98"
"대구광역시  (2700000000)","2,356,372","1,111,207","          2.12","1,154,611","1,201,761","          0.96"
"대구광역시 중구 (2711000000)","100,724","50,169","          2.01","48,178","52,546","          0.92"
"대구광역시 동구 (2714000000)","339,912","165,494","          2.05","166,063","173,849","          0.96"
"대구광역시 서구 (2717000000)","162,529","84,432","          1.92","80,484","82,045","          0.98"
"대구광역시 남구 (2720000000)","135,984","75,546","          1.80","64,740","71,244","          0.91"
"대구광역시 북구 (2723000000)","411,210","193,019","          2.13","203,440","207,770","          0.98"
"대구광역시 수성구 (2726000000)","409,457","176,458","          2.32","196,760","212,697","          0.93"
"대구광역시 달서구 (2729000000)","519,009","238,800","          2.17","254,025","264,984","          0.96"
"대구광역시 달성군 (2771000000)","255,197","113,853","          2.24","129,311","125,886","          1.03"
"대구광역시 군위군 (2772000000)","22,350","13,436","          1.66","11,610","10,740","          1.08"
"인천광역시  (2800000000)","3,046,754","1,396,627","          2.18","1,521,985","1,524,769","          1.00"
"인천광역시 중구 (2811000000)","174,663","87,966","          1.99","90,402","84,261","          1.07"
"인천광역시 중구영종출장소 (2811400000)","0","0","          0.00","0","0","          0.00"
"인천광역시 중구용유출장소 (2811800000)","0","0","          0.00","0","0","          0.00"
"인천광역시 동구 (2814000000)","56,764","27,338","          2.08","28,425","28,339","          1.00"
"인천광역시 미추홀구 (2817700000)","418,425","205,521","          2.04","210,515","207,910","          1.01"
"인천광역시 연수구 (2818500000)","407,833","168,172","          2.43","201,829","206,004","          0.98"
"인천광역시 남동구 (2820000000)","481,212","225,200","          2.14","238,730","242,482","          0.98"
"인천광역시 부평구 (2823700000)","491,820","226,455","          2.17","241,505","250,315","          0.96"
"인천광역시 계양구 (2824500000)","277,665","128,221","          2.17","138,199","139,466","          0.99"
"인천광역시 서구 (2826000000)","649,040","279,422","          2.32","326,304","322,736","          1.01"
"인천광역시 서구검단출장소 (2826500000)","0","0","          0.00","0","0","          0.00"
"인천광역시 강화군 (2871000000)","69,664","36,025","          1.93","34,854","34,810","          1.00"
"인천광역시 옹진군 (2872000000)","19,668","12,307","          1.60","11,222","8,446","          1.33"
"광주광역시  (2900000000)","1,397,122","659,278","          2.12","689,326","707,796","          0.97"
"광주광역시 동구 (2911000000)","105,032","55,122","          1.91","51,436","53,596","          0.96"
"광주광역시 서구 (2914000000)","276,083","132,726","          2.08","134,970","141,113","          0.96"
"광주광역시 남구 (2915500000)","207,944","96,322","          2.16","99,349","108,595","          0.91"
"광주광역시 북구 (2917000000)","418,974","202,000","          2.07","207,024","211,950","          0.98"
"광주광역시 광산구 (2920000000)","389,089","173,108","          2.25","196,547","192,542","          1.02"
"대전광역시  (3000000000)","1,442,228","697,288","          2.07","718,760","723,468","          0.99"
"대전광역시 동구 (3011000000)","219,546","112,976","          1.94","110,534","109,012","          1.01"
"대전광역시 중구 (3014000000)","226,046","109,837","          2.06","110,812","115,234","          0.96"
"대전광역시 서구 (3017000000)","463,776","222,119","          2.09","227,233","236,543","          0.96"
"대전광역시 유성구 (3020000000)","366,516","171,180","          2.14","185,739","180,777","          1.03"
"대전광역시 대덕구 (3023000000)","166,344","81,176","          2.05","84,442","81,902","          1.03"
"울산광역시  (3100000000)","1,092,634","498,241","          2.19","562,946","529,688","          1.06"
"울산광역시 중구 (3111000000)","204,072","94,271","          2.16","103,239","100,833","          1.02"
"울산광역시 남구 (3114000000)","304,440","142,819","          2.13","155,840","148,600","          1.05"
"울산광역시 동구 (3117000000)","149,681","68,335","          2.19","78,221","71,460","          1.09"
"울산광역시 북구 (3120000000)","215,617","89,963","          2.40","112,126","103,491","          1.08"
"울산광역시 울주군 (3171000000)","218,824","102,853","          2.13","113,520","105,304","          1.08"
"세종특별자치시  (3600000000)","392,230","165,343","          2.37","195,235","196,995","          0.99"
"세종특별자치시  (3611000000)","392,230","165,343","          2.37","195,235","196,995","          0.99"
"경기도  (4100000000)","13,721,178","6,110,044","          2.25","6,891,911","6,829,267","          1.01"
"경기도 수원시 (4111000000)","1,188,644","542,056","          2.19","597,209","591,435","          1.01"
"경기도 수원시 장안구 (4111100000)","271,690","122,451","          2.22","136,197","135,493","          1.01"
"경기도 수원시 권선구 (4111300000)","361,366","165,373","          2.19","182,360","179,006","          1.02"
"경기도 수원시 팔달구 (4111500000)","192,685","97,793","          1.97","96,907","95,778","          1.01"
"경기도 수원시 영통구 (4111700000)","362,903","156,439","          2.32","181,745","181,158","          1.00"
"경기도 성남시 (4113000000)","907,068","409,693","          2.21","448,278","458,790","          0.98"
"경기도 성남시 수정구 (4113100000)","232,661","116,320","          2.00","117,637","115,024","          1.02"
"경기도 성남시 중원구 (4113300000)","204,532","100,032","          2.04","102,974","101,558","          1.01"
"경기도 성남시 분당구 (4113500000)","469,875","193,341","          2.43","227,667","242,208","          0.94"
"경기도 의정부시 (4115000000)","461,568","211,913","          2.18","226,599","234,969","          0.96"
"경기도 안양시 (4117000000)","563,789","239,976","          2.35","278,030","285,759","          0.97"
"경기도 안양시 만안구 (4117100000)","234,036","105,519","          2.22","116,556","117,480","          0.99"
"경기도 안양시 동안구 (4117300000)","329,753","134,457","          2.45","161,474","168,279","          0.96"
"경기도 부천시 (4119000000)","761,265","342,749","          2.22","375,202","386,063","          0.97"
"경기도 부천시 원미구 (4119200000)","385,788","174,663","          2.21","189,219","196,569","          0.96"
"경기도 부천시 소사구 (4119400000)","226,200","98,960","          2.29","110,694","115,506","          0.96"
"경기도 부천시 오정구 (4119600000)","149,277","69,126","          2.16","75,289","73,988","          1.02"
"경기도 광명시 (4121000000)","289,891","120,982","          2.40","141,843","148,048","          0.96"
"경기도 평택시 (4122000000)","605,625","289,642","          2.09","317,623","288,002","          1.10"
"경기도 송탄출장소 (4122200000)","0","0","          0.00","0","0","          0.00"
"경기도 안중출장소 (4122400000)","0","0","          0.00","0","0","          0.00"
"경기도 동두천시 (4125000000)","86,830","43,597","          1.99","43,257","43,573","          0.99"
"경기도 안산시 (4127000000)","613,914","287,971","          2.13","314,459","299,455","          1.05"
"경기도 안산시 상록구 (4127100000)","323,777","151,829","          2.13","165,313","158,464","          1.04"
"경기도 안산시 단원구 (4127300000)","290,137","136,142","          2.13","149,146","140,991","          1.06"
"경기도 고양시 (4128000000)","1,061,192","465,909","          2.28","516,463","544,729","          0.95"
"경기도 고양시 덕양구 (4128100000)","486,764","219,396","          2.22","238,571","248,193","          0.96"
"경기도 고양시 일산동구 (4128500000)","295,390","131,932","          2.24","143,235","152,155","          0.94"
"경기도 고양시 일산서구 (4128700000)","279,038","114,581","          2.44","134,657","144,381","          0.93"
"경기도 과천시 (4129000000)","80,021","28,766","          2.78","38,984","41,037","          0.95"
"경기도 구리시 (4131000000)","186,070","81,596","          2.28","92,136","93,934","          0.98"
"경기도 남양주시 (4136000000)","730,401","308,720","          2.37","361,162","369,239","          0.98"
"경기도 풍양출장소 (4136200000)","0","0","          0.00","0","0","          0.00"
"경기도 오산시 (4137000000)","247,325","113,901","          2.17","129,027","118,298","          1.09"
"경기도 시흥시 (4139000000)","514,331","229,271","          2.24","267,989","246,342","          1.09"
